event_id,word_idx,word,start,end,pos,is_content,pos_class,surprisal,surprisal_class,sentence_idx,sentence_id,sentence_onset
0,0,This,47.15,47.32000000000001,DT,0,4,12.700873374938965,1,0,0,True
1,1,is,47.321000000000005,47.42000000000001,VBZ,1,1,2.479339838027954,1,0,0,False
2,2,Agent,47.42100000000001,47.710000000000015,NNP,1,0,17.263601303100586,2,0,0,False
3,3,Leland,47.791,48.06,NNP,1,0,15.885085105895996,2,0,0,False
4,4,Turbo,48.061,48.35999999999999,NNP,1,0,17.195207595825195,2,0,0,False
5,6,I,48.87,48.99,PRP,0,4,4.698883533477783,1,1,1,True
6,7,have,48.991,49.040000000000006,VBP,1,1,3.950385332107544,1,1,1,False
7,8,a,49.041,49.120000000000005,DT,0,4,3.3791425228118896,1,1,1,False
8,9,flash,49.151,49.42,NN,1,0,13.052011489868164,1,1,1,False
9,10,transmission,49.421,49.91,NN,1,0,13.847355842590332,2,1,1,False
10,11,for,49.941,50.02,IN,0,4,5.07093620300293,1,1,1,False
11,12,Agent,50.021,50.250000000000014,NNP,1,0,10.11551570892334,1,1,1,False
12,13,Finn,50.311,50.45,NNP,1,0,14.484146118164062,2,1,1,False
13,14,McMissile,50.45,50.940894568690105,NNP,1,0,32.49494504928589,2,1,1,False
14,16,Finn,52.9,53.09249201277957,NNP,1,0,12.229268074035645,1,2,2,True
15,17,my,53.364217252396166,53.50255591054313,PRP$,0,4,14.095848083496094,2,2,2,False
16,18,cover,53.53674121405751,53.72699680511184,NN,1,0,12.99485683441162,1,2,2,False
17,20,been,53.77029712460067,53.86763578274759,VBN,1,1,6.487030982971191,1,2,2,False
18,21,compromised,53.871,54.46153354632587,VBN,1,1,8.862593650817871,1,2,2,False
19,23,You,57.99361022364218,58.04776357827478,PRP,0,4,6.861614227294922,1,3,3,True
20,24,wo,58.04472843450479,58.12539936102237,MD,0,4,6.572598934173584,1,3,3,False
21,26,believe,58.20447284345048,58.47140575079873,VB,1,1,3.515787124633789,1,3,3,False
22,27,what,58.52715654952077,58.59255591054316,WP,0,4,3.172497510910034,1,3,3,False
23,28,I,58.594249201277954,58.69856230031948,PRP,0,4,1.885537028312683,1,3,3,False
24,29,found,58.8,58.99000000000001,VBD,1,1,6.28021764755249,1,3,3,False
25,30,out,58.99100000000001,59.18,RP,0,4,2.848130941390991,1,3,3,False
26,31,here,59.181,59.41,RB,1,3,7.216784000396728,1,3,3,False
27,33,This,59.85,60.03,DT,0,4,5.33695650100708,1,4,4,True
28,34,is,60.031,60.09000000000001,VBZ,1,1,1.7207249402999878,0,4,4,False
29,35,bigger,60.13100000000001,60.370000000000005,JJR,1,2,14.2781982421875,2,4,4,False
30,36,than,60.371,60.510000000000005,IN,0,4,0.184963583946228,0,4,4,False
31,37,anything,60.51100000000001,60.83140575079873,NN,1,0,4.87073278427124,1,4,4,False
32,38,we,60.834984025559145,61.00000000000001,PRP,0,4,4.998974323272705,1,4,4,False
33,40,ever,61.001000000000005,61.17000000000001,RB,1,3,0.4404953420162201,0,4,4,False
34,41,seen,61.17100000000001,61.51,VBN,1,1,0.8239853382110596,0,4,4,False
35,42,and,61.83,61.94,CC,0,4,1.82635760307312,1,4,4,False
36,43,no,61.941,62.07,DT,0,4,5.345971584320068,1,4,4,False
37,44,one,62.071,62.150000000000006,NN,1,0,9.828105926513672,1,4,4,False
38,45,even,62.151,62.32000000000001,RB,1,3,1.5389013290405271,0,4,4,False
39,46,knows,62.321000000000005,62.56,VBZ,1,1,7.580199718475342,1,4,4,False
40,47,it,62.60000000000001,62.71,PRP,0,4,1.9281336069107056,1,4,4,False
41,48,exists,62.711,63.18999999999997,VBZ,1,1,3.3203396797180176,1,4,4,False
42,50,Finn,64.8,65.03,NNP,1,0,17.136119842529297,2,5,5,True
43,51,I,65.19,65.29,PRP,0,4,11.688197135925291,1,5,5,False
44,52,need,65.291,65.39999999999996,VBP,1,1,10.320380210876465,1,5,5,False
45,53,backup,65.481,65.78000000000002,NN,1,0,12.74962329864502,1,5,5,False
46,55,But,66.23,66.36,CC,0,4,7.318543910980225,1,6,6,True
47,56,do,66.361,66.48999999999997,VB,1,1,6.987575054168701,1,6,6,False
48,58,call,66.561,66.72999999999999,VB,1,1,7.05733060836792,1,6,6,False
49,59,the,66.73099999999998,66.80999999999999,DT,0,4,5.03745698928833,1,6,6,False
50,60,cavalry,66.81099999999998,67.16999999999996,NN,1,0,12.290135383605955,1,6,6,False
51,61,it,67.17099999999996,67.19999999999997,PRP,0,4,9.192673683166504,1,6,6,False
52,62,could,67.24099999999999,67.34999999999998,MD,0,4,7.282813549041748,1,6,6,False
53,63,blow,67.40999999999998,67.58,VB,1,1,7.830019950866699,1,6,6,False
54,64,the,67.581,67.64999999999999,DT,0,4,5.072503566741943,1,6,6,False
55,65,operation,67.65099999999998,68.10999999999993,NN,1,0,13.234463691711426,1,6,6,False
56,67,And,68.54888178913737,68.65,CC,0,4,6.308633804321289,1,7,7,True
57,68,be,68.71809265175719,68.8270926517572,VB,1,1,8.764344215393066,1,7,7,False
58,69,careful,68.8898402555911,69.25,JJ,1,2,2.793688535690308,1,7,7,False
59,71,It,69.45693290734826,69.54693290734825,PRP,0,4,4.693761348724365,1,8,8,True
60,73,not,69.5479329073483,69.68095846645377,RB,1,3,2.8101561069488525,1,8,8,False
61,74,safe,69.74099999999999,70.02999999999997,JJ,1,2,6.140019416809082,1,8,8,False
62,75,out,70.03099999999996,70.21999999999997,RB,1,3,7.77599287033081,1,8,8,False
63,76,here,70.22099999999998,70.48,RB,1,3,2.215126276016236,1,8,8,False
64,78,Go,70.82747603833866,70.97859424920127,VB,1,1,9.200709342956545,1,9,9,True
